Beta (v/c)	 Gamma 
0.0706		 1.0025 
0.0707		 1.00251 
0.0708		 1.00252 
0.0709		 1.00252 
0.071		 1.00253 
0.0711		 1.00254 
0.0712		 1.00254 
0.0713		 1.00255 
0.0714		 1.00256 
0.0715		 1.00257 
0.0716		 1.00257 
0.0717		 1.00258 
0.0718		 1.00259 
0.0719		 1.00259 
0.072		 1.0026 
0.0721		 1.00261 
0.0722		 1.00262 
0.0723		 1.00262 
0.0724		 1.00263 
0.0725		 1.00264 
0.0726		 1.00265 
0.0727		 1.00265 
0.0728		 1.00266 
0.0729		 1.00267 
0.073		 1.00268 
0.0731		 1.00268 
0.0732		 1.00269 
0.0733		 1.0027 
0.0734		 1.0027 
0.0735		 1.00271 
0.0736		 1.00272 
0.0737		 1.00273 
0.0738		 1.00273 
0.0739		 1.00274 
0.074		 1.00275 
0.0741		 1.00276 
0.0742		 1.00276 
0.0743		 1.00277 
0.0744		 1.00278 
0.0745		 1.00279 
0.0746		 1.00279 
0.0747		 1.0028 
0.0748		 1.00281 
0.0749		 1.00282 
0.075		 1.00282 
0.0751		 1.00283 
0.0752		 1.00284 
0.0753		 1.00285 
0.0754		 1.00285 
0.0755		 1.00286 
0.0756		 1.00287 
0.0757		 1.00288 
0.0758		 1.00289 
0.0759		 1.00289 
0.076		 1.0029 
0.0761		 1.00291 
0.0762		 1.00292 
0.0763		 1.00292 
0.0764		 1.00293 
0.0765		 1.00294 
0.0766		 1.00295 
0.0767		 1.00295 
0.0768		 1.00296 
0.0769		 1.00297 
0.077		 1.00298 
0.0771		 1.00299 
0.0772		 1.00299 
0.0773		 1.003 
0.0774		 1.00301 
0.0775		 1.00302 
0.0776		 1.00302 
0.0777		 1.00303 
0.0778		 1.00304 
0.0779		 1.00305 
0.078		 1.00306 
0.0781		 1.00306 
0.0782		 1.00307 
0.0783		 1.00308 
0.0784		 1.00309 
0.0785		 1.0031 
0.0786		 1.0031 
0.0787		 1.00311 
0.0788		 1.00312 
0.0789		 1.00313 
0.079		 1.00314 
0.0791		 1.00314 
0.0792		 1.00315 
0.0793		 1.00316 
0.0794		 1.00317 
0.0795		 1.00318 
0.0796		 1.00318 
0.0797		 1.00319 
0.0798		 1.0032 
0.0799		 1.00321 
0.08		 1.00322 
0.0801		 1.00322 
0.0802		 1.00323 
0.0803		 1.00324 
0.0804		 1.00325 
0.0805		 1.00326 
0.0806		 1.00326 
0.0807		 1.00327 
0.0808		 1.00328 
0.0809		 1.00329 
0.081		 1.0033 
0.0811		 1.0033 
0.0812		 1.00331 
0.0813		 1.00332 
0.0814		 1.00333 
0.0815		 1.00334 
0.0816		 1.00335 
0.0817		 1.00335 
0.0818		 1.00336 
0.0819		 1.00337 
0.082		 1.00338 
0.0821		 1.00339 
0.0822		 1.0034 
0.0823		 1.0034 
0.0824		 1.00341 
0.0825		 1.00342 
0.0826		 1.00343 
0.0827		 1.00344 
0.0828		 1.00345 
0.0829		 1.00345 
0.083		 1.00346 
0.0831		 1.00347 
0.0832		 1.00348 
0.0833		 1.00349 
0.0834		 1.0035 
0.0835		 1.0035 
0.0836		 1.00351 
0.0837		 1.00352 
0.0838		 1.00353 
0.0839		 1.00354 
0.084		 1.00355 
0.0841		 1.00356 
0.0842		 1.00356 
0.0843		 1.00357 
0.0844		 1.00358 
0.0845		 1.00359 
0.0846		 1.0036 
0.0847		 1.00361 
0.0848		 1.00362 
0.0849		 1.00362 
0.085		 1.00363 
0.0851		 1.00364 
0.0852		 1.00365 
0.0853		 1.00366 
0.0854		 1.00367 
0.0855		 1.00368 
0.0856		 1.00368 
0.0857		 1.00369 
0.0858		 1.0037 
0.0859		 1.00371 
0.086		 1.00372 
0.0861		 1.00373 
0.0862		 1.00374 
0.0863		 1.00374 
0.0864		 1.00375 
0.0865		 1.00376 
0.0866		 1.00377 
0.0867		 1.00378 
0.0868		 1.00379 
0.0869		 1.0038 
0.087		 1.00381 
0.0871		 1.00381 
0.0872		 1.00382 
0.0873		 1.00383 
0.0874		 1.00384 
0.0875		 1.00385 
0.0876		 1.00386 
0.0877		 1.00387 
0.0878		 1.00388 
0.0879		 1.00389 
0.088		 1.00389 
0.0881		 1.0039 
0.0882		 1.00391 
0.0883		 1.00392 
0.0884		 1.00393 
0.0885		 1.00394 
0.0886		 1.00395 
0.0887		 1.00396 
0.0888		 1.00397 
0.0889		 1.00398 
0.089		 1.00398 
0.0891		 1.00399 
0.0892		 1.004 
0.0893		 1.00401 
0.0894		 1.00402 
0.0895		 1.00403 
0.0896		 1.00404 
0.0897		 1.00405 
0.0898		 1.00406 
0.0899		 1.00407 
0.09		 1.00407 
0.0901		 1.00408 
0.0902		 1.00409 
0.0903		 1.0041 
0.0904		 1.00411 
0.0905		 1.00412 
0.0906		 1.00413 
0.0907		 1.00414 
0.0908		 1.00415 
0.0909		 1.00416 
0.091		 1.00417 
0.0911		 1.00418 
0.0912		 1.00418 
0.0913		 1.00419 
0.0914		 1.0042 
0.0915		 1.00421 
0.0916		 1.00422 
0.0917		 1.00423 
0.0918		 1.00424 
0.0919		 1.00425 
0.092		 1.00426 
0.0921		 1.00427 
0.0922		 1.00428 
0.0923		 1.00429 
0.0924		 1.0043 
0.0925		 1.00431 
0.0926		 1.00432 
0.0927		 1.00432 
0.0928		 1.00433 
0.0929		 1.00434 
0.093		 1.00435 
0.0931		 1.00436 
0.0932		 1.00437 
0.0933		 1.00438 
0.0934		 1.00439 
0.0935		 1.0044 
0.0936		 1.00441 
0.0937		 1.00442 
0.0938		 1.00443 
0.0939		 1.00444 
0.094		 1.00445 
0.0941		 1.00446 
0.0942		 1.00447 
0.0943		 1.00448 
0.0944		 1.00449 
0.0945		 1.0045 
0.0946		 1.0045 
0.0947		 1.00451 
0.0948		 1.00452 
0.0949		 1.00453 
0.095		 1.00454 
0.0951		 1.00455 
0.0952		 1.00456 
0.0953		 1.00457 
0.0954		 1.00458 
0.0955		 1.00459 
0.0956		 1.0046 
0.0957		 1.00461 
0.0958		 1.00462 
0.0959		 1.00463 
0.096		 1.00464 
0.0961		 1.00465 
0.0962		 1.00466 
0.0963		 1.00467 
0.0964		 1.00468 
0.0965		 1.00469 
0.0966		 1.0047 
0.0967		 1.00471 
0.0968		 1.00472 
0.0969		 1.00473 
0.097		 1.00474 
0.0971		 1.00475 
0.0972		 1.00476 
0.0973		 1.00477 
0.0974		 1.00478 
0.0975		 1.00479 
0.0976		 1.0048 
0.0977		 1.00481 
0.0978		 1.00482 
0.0979		 1.00483 
0.098		 1.00484 
0.0981		 1.00485 
0.0982		 1.00486 
0.0983		 1.00487 
0.0984		 1.00488 
0.0985		 1.00489 
0.0986		 1.0049 
0.0987		 1.00491 
0.0988		 1.00492 
0.0989		 1.00493 
0.099		 1.00494 
0.0991		 1.00495 
0.0992		 1.00496 
0.0993		 1.00497 
0.0994		 1.00498 
0.0995		 1.00499 
0.0996		 1.005 
0.0997		 1.00501 
0.0998		 1.00502 
0.0999		 1.00503 
0.1		 1.00504 
0.1001		 1.00505 
0.1002		 1.00506 
0.1003		 1.00507 
0.1004		 1.00508 
0.1005		 1.00509 
0.1006		 1.0051 
0.1007		 1.00511 
0.1008		 1.00512 
0.1009		 1.00513 
0.101		 1.00514 
0.1011		 1.00515 
0.1012		 1.00516 
0.1013		 1.00517 
0.1014		 1.00518 
0.1015		 1.00519 
0.1016		 1.0052 
0.1017		 1.00521 
0.1018		 1.00522 
0.1019		 1.00523 
0.102		 1.00524 
0.1021		 1.00525 
0.1022		 1.00526 
0.1023		 1.00527 
0.1024		 1.00528 
0.1025		 1.00529 
0.1026		 1.00531 
0.1027		 1.00532 
0.1028		 1.00533 
0.1029		 1.00534 
0.103		 1.00535 
0.1031		 1.00536 
0.1032		 1.00537 
0.1033		 1.00538 
0.1034		 1.00539 
0.1035		 1.0054 
0.1036		 1.00541 
0.1037		 1.00542 
0.1038		 1.00543 
0.1039		 1.00544 
0.104		 1.00545 
0.1041		 1.00546 
0.1042		 1.00547 
0.1043		 1.00548 
