JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456309.045168,13.96,0.02,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.33,Z,,14.44,,PSN J10000552-3414013,AAVSO,STD,,,,
2456309.99334,14.138,0.029,,B,BHQ,,ENSEMBLE,147,10401GAY,,0,1.679,Z,,15.281,,SN 2013E,VSS,STD,,,,
2456310.00110,13.906,0.036,,V,BHQ,,ENSEMBLE,147,10401GAY,,0,1.597,Z,,14.644,,SN 2013E,VSS,STD,,,,
2456310.00828,13.771,0.024,,R,BHQ,,ENSEMBLE,147,10401GAY,,0,1.528,Z,,14.233,,SN 2013E,VSS,STD,,,,
2456310.01294,13.956,0.042,,I,BHQ,,ENSEMBLE,147,10401GAY,,0,1.487,Z,,13.833,,SN 2013E,VSS,STD,,,,
2456310.046993,14.12,0.02,,B,NLX,W,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.31,Z,,15.05,,PSN J10000552-3414013,AAVSO,STD,,,,
2456310.051117,13.93,0.01,,V,NLX,W,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.28,Z,,14.42,,PSN J10000552-3414013,AAVSO,STD,,,,
2456310.225428,13.794,0.014,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.008,Z,,13.228,,SN 2013E,AAVSO,STD,,,,
2456312.068986,14.195,0.008,,B,NLX,,Ensemble,144,10401FZM," 	mags ave 3 measures ",0,1.18,Z,,15.07,,PSN J10000552-3414013,AAVSO,STD,,,,
2456312.073257,13.946,0.008,,V,NLX,W,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.17,Z,,14.43,,PSN J10000552-3414013,AAVSO,STD,,,,
2456312.225868,13.906,0.045,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.012,Z,,13.256,,SN 2013E,AAVSO,STD,,,,
2456312.227720,13.899,0.058,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.014,Z,,13.257,,SN 2013E,AAVSO,STD,,,,
2456312.229572,13.905,0.037,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.016,Z,,13.252,,SN 2013E,AAVSO,STD,,,,
2456313.004691,14.24,0.018,,B,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.54,Z,,15.06,,PSN J10000552-3414013,AAVSO,STD,,,,
2456313.008805,13.96,0.02,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.50,Z,,14.44,,PSN J10000552-3414013,AAVSO,STD,,,,
2456313.185,14.3,,,Vis.,PEX,,139,147,10401GBD,,,,Z,,,,SN 2013E,RASNZ-VSS,STD,,,,
2456313.247396,13.985,0.080,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.041,Z,,13.321,,SN 2013E,AAVSO,STD,,,,
