ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i
0.7323704,1.3328,2.349766,2.863327,4.57278,1.307399,0.8262398
1.541006,1.497492,2.518803,2.947727,2.946191,1.25159,0.6639119
2.238613,1.725908,2.300129,2.671532,2.434133,1.168763,0.7806457
2.043604,1.177683,1.635483,1.914871,3.012088,1.278018,0.7291368
2.495901,1.619488,2.487402,2.898886,3.483406,1.408681,0.8728222
1.856081,1.036171,1.449793,1.821896,3.014246,1.359301,0.2109209
1.921873,0.9334126,1.358406,1.685909,3.086435,1.457762,0.4056931
2.581408,1.982937,3.299543,3.813951,4.399236,1.83181,0.4955963
1.665636,1.76597,2.790648,3.190723,2.736564,1.25446,0.4379337
0.1185226,0.5679188,1.43104,1.741091,3.503019,1.27235,0.6510879
1.369427,1.793798,2.584879,2.951723,2.731677,1.054361,0.7001162
1.930403,1.665258,2.286715,2.700333,2.60734,1.267481,0.7287343
1.038887,0.502285,0.8489094,1.036276,2.724897,1.252678,0.6782725
2.015341,0.9744282,1.394712,1.771654,4.565485,1.799723,0.7445004
1.074799,0.4973164,0.7714233,0.9134521,5.380715,2.589265,0.828976
2.559046,1.795866,2.853624,3.466433,2.017931,0.9445899,0.6496439
0.846447,1.500559,2.483549,2.850595,4.810477,0.9499097,0.9997169
3.290272,1.550354,2.121817,2.474504,7.769912,3.003614,0.7477693
2.347776,1.522041,2.092207,2.565319,3.770149,1.630241,0.9064363
1.084341,0.6234074,0.9948254,1.254535,6.350999,2.818118,0.6180311
2.220613,1.522835,2.281275,2.699553,2.38394,0.8186151,0.5732065
2.155422,1.523674,2.342817,2.873377,2.312814,0.9898638,0.6697116
0.1715565,1.6989,2.506416,2.958637,2.463349,1.047374,0.598097
1.014465,1.719244,2.587318,3.094458,3.297292,1.265017,0.6751599
